model,transformation,localization_metric,faithfulness_method,n,rho,p_raw,p_bh
resnet50,jpeg_sev3,SO,blur,12,-0.8671328671328673,0.00025981184986148103,0.0033775540481992532
resnet50,jpeg_sev3,IoU,blur,12,-0.8321678321678322,0.0007854416778536133,0.010210741812096974
resnet50,jpeg_sev3,saliency_mass,blur,12,-0.8741258741258742,0.00020071307332423182,0.002609269953215014
resnet50,resize_sev1,SO,blur,12,-0.17482517482517487,0.5868236643627043,0.6357256363929297
resnet50,resize_sev1,IoU,blur,12,-0.1398601398601399,0.6646331617926677,0.807743604395767
resnet50,resize_sev1,saliency_mass,blur,12,-0.17482517482517487,0.5868236643627043,0.7481980778364911
resnet50,resize_sev2,SO,blur,12,-0.17482517482517487,0.5868236643627043,0.6357256363929297
resnet50,resize_sev2,IoU,blur,12,-0.1398601398601399,0.6646331617926677,0.807743604395767
resnet50,resize_sev2,saliency_mass,blur,12,-0.17482517482517487,0.5868236643627043,0.7481980778364911
resnet50,resize_sev3,SO,blur,12,-0.22377622377622378,0.4844516614553987,0.6357256363929297
resnet50,resize_sev3,IoU,blur,12,-0.2027972027972028,0.5273023541661079,0.807743604395767
resnet50,resize_sev3,saliency_mass,blur,12,-0.09090909090909093,0.7787253962454419,0.7787253962454419
