n_total,n_valid,n_nonzero,mean_clean,mean_transformed,mean_diff,median_diff,w_stat,raw_p,r_rb,ci_lower,ci_upper,test_status,model,seed,transformation,metric,test_family,inference_unit,rho,adjusted_p
,12,,,,,,,0.45680085263992326,,,,tested,resnet50,123,brightening_sev3,SM_vs_zero,family_4a_loc_faith,source_video,0.2377622377622378,0.9827917689028476
,12,,,,,,,0.8969858708195542,,,,tested,resnet50,123,brightening_sev3,SM_vs_mean,family_4a_loc_faith,source_video,0.04195804195804196,0.9827917689028476
,12,,,,,,,0.00020071307332423182,,,,tested,resnet50,123,brightening_sev3,Dprob_vs_DSO,family_4b_det_exp_deg,source_video,0.8741258741258742,0.0004817113759781564
,12,,,,,,,0.00025981184986148103,,,,tested,resnet50,123,brightening_sev3,Dprob_vs_DIoU,family_4b_det_exp_deg,source_video,0.8671328671328673,0.0005196236997229621
,0,,,,,,,,,,,not_tested_small_n,resnet50,123,brightening_sev3,Dprob_vs_Dstability,family_4b_det_exp_deg,source_video,,
12.0,12,12.0,0.25842921463769697,0.2466309163297077,0.011798298307989272,0.002197993788092517,24.0,0.26611328125,0.38461538461538464,-5.4704809388508795e-05,0.02501965154862884,tested,resnet50,123,darkening_sev1,SO,family_1_localization,source_video,,0.3756893382352941
12.0,12,12.0,0.15568354182609964,0.14814191915103253,0.0075416226750671,0.0012439535255542034,26.0,0.33935546875,0.3333333333333333,-0.0006489463967940565,0.01673566129705681,tested,resnet50,123,darkening_sev1,IoU,family_1_localization,source_video,,0.42865953947368424
12.0,12,12.0,0.25823693564992867,0.24757653798855764,0.010660397661371076,0.001566184635647408,26.0,0.33935546875,0.3333333333333333,-0.0009681073411470555,0.02380211654309217,tested,resnet50,123,darkening_sev1,saliency_mass,family_1_localization,source_video,,0.42865953947368424
12.0,12,12.0,0.3322296666895133,0.3130350058968376,0.019194660792675736,0.01090522937107094,19.0,0.12939453125,0.5128205128205128,-0.0016479772603404052,0.03931434643526521,tested,resnet50,123,darkening_sev1,hit_rate,family_1_localization,source_video,,0.20703125
12.0,12,12.0,0.04598088259290489,0.03923508081728386,0.006745801775621042,0.00865483187735179,27.0,0.38037109375,0.3076923076923077,-0.03268268116454905,0.04548071234585174,tested,resnet50,123,darkening_sev1,faithfulness_blur,family_2_faithfulness,source_video,,0.42791748046875
12.0,12,12.0,0.6548642437097679,0.5837534716419802,0.07111077206778763,0.052444815553404134,9.0,0.01611328125,0.7692307692307693,0.020012736780707238,0.1267573096629757,tested,resnet50,123,darkening_sev1,faithfulness_zero,family_2_faithfulness,source_video,,0.0322265625
12.0,12,12.0,0.5330614808352593,0.4394584597204571,0.09360302111480212,0.07689651088170316,3.0,0.00244140625,0.9230769230769231,0.04999343499257827,0.13459984662878086,tested,resnet50,123,darkening_sev1,faithfulness_mean,family_2_faithfulness,source_video,,0.00732421875
12.0,0,0.0,,,,,,,,,,not_tested_small_n,resnet50,123,darkening_sev1,ES_cos,family_3_stability,source_video,,
12.0,0,0.0,,,,,,,,,,not_tested_small_n,resnet50,123,darkening_sev1,explanation_IoU,family_3_stability,source_video,,
,12,,,,,,,0.5567370561768314,,,,tested,resnet50,123,darkening_sev1,SO_vs_blur,family_4a_loc_faith,source_video,-0.18881118881118883,0.9827917689028476
