transformation,severity,direction,parameter_name,parameter_value,model,seed,overall_mean_delta_p,overall_median_delta_p,overall_mean_abs_delta_p,real_mean_delta_p,real_median_delta_p,fake_mean_delta_p,fake_median_delta_p
brightness_dark,3,darker,factor,0.4,xception,2024,0.21458878781340474,0.10879780425367498,0.21458878781340474,0.376567268145305,0.3840214036761216,0.05261030748150433,0.012029279766715417
clean,0,none,none,,efficientnet_b0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,0,none,none,,efficientnet_b0,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,0,none,none,,efficientnet_b0,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,0,none,none,,resnet50,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,0,none,none,,resnet50,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,0,none,none,,resnet50,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,0,none,none,,xception,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,0,none,none,,xception,123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clean,0,none,none,,xception,2024,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jpeg,1,none,quality,80.0,efficientnet_b0,42,-0.08349325034821246,-0.00507873007221305,0.0875680768172491,-0.004368622916724014,-0.0027563790015430996,-0.16261787777970085,-0.13044752103037371
jpeg,1,none,quality,80.0,efficientnet_b0,123,-0.09233263931546691,-0.016325293650392144,0.10137379260731194,-0.019442182479404043,-0.0017855294389560999,-0.16522309615152977,-0.09299626759366643
jpeg,1,none,quality,80.0,efficientnet_b0,2024,-0.09759759101333654,-0.01623031678891315,0.10670155673943667,-0.008315435555040123,-0.007894262550865802,-0.18687974647163297,-0.09671539231264736
jpeg,1,none,quality,80.0,resnet50,42,-0.07983672518098855,-0.0123459713813589,0.08269045074774545,-0.02009317737161667,-0.003700966092362954,-0.13958027299036044,-0.10337026318653902
jpeg,1,none,quality,80.0,resnet50,123,-0.06264273656851234,-0.021169922218810103,0.06539975438506625,-0.017322145742783495,-0.0004378523102145,-0.10796332739424115,-0.05116653199333643
jpeg,1,none,quality,80.0,resnet50,2024,-0.08124814486675554,-0.00608575374058455,0.09041368445719115,-0.004275375161315352,-0.001628754095179,-0.15822091457219575,-0.16842059850767577
jpeg,1,none,quality,80.0,xception,42,-0.09481393860011171,-0.007279363403865349,0.09481393860011171,-0.010166443832639092,-0.00362175865958995,-0.17946143336758438,-0.06139631996100954
jpeg,1,none,quality,80.0,xception,123,-0.09496873059767043,-0.005878837502721002,0.09808624850211922,-0.0064431046580052465,-0.0017195814664475997,-0.18349435653733562,-0.07812759694470978
jpeg,1,none,quality,80.0,xception,2024,-0.08534708074720433,-0.0128465402147068,0.08932882009984962,-0.010945324875128311,-0.007460857925058,-0.15974883661928038,-0.022739272743713235
jpeg,2,none,quality,50.0,efficientnet_b0,42,-0.20771804764543808,-0.01730520174747045,0.22462429338971532,-0.0032765718701072265,-0.0034313965725607937,-0.4121595234207689,-0.32274391932925417
jpeg,2,none,quality,50.0,efficientnet_b0,123,-0.23048575032623522,-0.04644406750602125,0.25917932027558516,-0.027191724624537467,-0.002545599996197,-0.43377977602793294,-0.52557299455501
jpeg,2,none,quality,50.0,efficientnet_b0,2024,-0.22360371764603185,-0.04236747510242089,0.2551334234322793,-0.015379817188326058,-0.0168027638670279,-0.43182761810373765,-0.5557812214629794
jpeg,2,none,quality,50.0,resnet50,42,-0.27424500398678026,-0.0823082290037849,0.27597302295676757,-0.05978571930608902,-0.0184374356331792,-0.48870428866747145,-0.6139204470072972
jpeg,2,none,quality,50.0,resnet50,123,-0.25803030981168623,-0.06648184526143625,0.2643430096182386,-0.04574837484028793,-0.00460854195597465,-0.47031224478308437,-0.5495879625980282
jpeg,2,none,quality,50.0,resnet50,2024,-0.2301130047550443,-0.063764808249539,0.24528270363625873,-0.012049020442300539,-0.00267521205030425,-0.4481769890677881,-0.5009976847951438
jpeg,2,none,quality,50.0,xception,42,-0.3019659011661144,-0.07365829956913955,0.3019673309010753,-0.03589129713074274,-0.0148785131144221,-0.5680405052014861,-0.7119279883809448
jpeg,2,none,quality,50.0,xception,123,-0.27422157382895,-0.020475244982050517,0.277928304039461,-0.01575328965525533,-0.014427184961077179,-0.5326898580026448,-0.6966005602829408
jpeg,2,none,quality,50.0,xception,2024,-0.2756636820376906,-0.038420475491502445,0.2756663562675276,-0.04501129550015006,-0.024344367358953647,-0.5063160685752311,-0.6400906400587483
jpeg,3,none,quality,20.0,efficientnet_b0,42,-0.3315067449624309,-0.11152998258328636,0.3318694883770675,-0.056029732743434126,-0.006001016207983477,-0.6069837571814277,-0.6821229951415184
jpeg,3,none,quality,20.0,efficientnet_b0,123,-0.23679944493336139,-0.1020710553298248,0.2907495838906562,-0.01602311127265447,-0.00147073731314785,-0.45757577859406834,-0.3662635062704526
jpeg,3,none,quality,20.0,efficientnet_b0,2024,-0.28878737266455756,-0.06246481906007435,0.31752486009675635,-0.0288955135259799,-0.0216187589922163,-0.5486792318031354,-0.6864229313772692
jpeg,3,none,quality,20.0,resnet50,42,-0.46888272753744836,-0.5895054248411611,0.4688888911170512,-0.1222876602659797,-0.04303343914837513,-0.815477794808917,-0.8656797259868169
jpeg,3,none,quality,20.0,resnet50,123,-0.4810775828358851,-0.5636026338899189,0.48222368002352156,-0.14257912210080456,-0.027827881069485798,-0.8195760435709656,-0.8877777945584925
jpeg,3,none,quality,20.0,resnet50,2024,-0.39936559685937384,-0.26162971093447496,0.40024403110992557,-0.04576654462058116,-0.003597222651652266,-0.7529646490981664,-0.8835610435907587
jpeg,3,none,quality,20.0,xception,42,-0.4515075666412786,-0.39340878062927775,0.4536570767980614,-0.09111738236758478,-0.007719847768350038,-0.8118977509149724,-0.8642813042477147
jpeg,3,none,quality,20.0,xception,123,-0.44950216383283625,-0.2026281169981673,0.44950235355800355,-0.10291249843033051,-0.01884979773917389,-0.7960918292353422,-0.9282666326573434
jpeg,3,none,quality,20.0,xception,2024,-0.4949120404703667,-0.5458028672656543,0.494920875325832,-0.0851892195560136,-0.026195225623243692,-0.90463486138472,-0.9364921442430646
resize,1,none,scale,0.75,efficientnet_b0,42,0.06387543696476398,0.0046883021038537,0.06849974605907949,0.0748032995839438,0.005662964848027653,0.05294757434558416,0.0020036994618831683
resize,1,none,scale,0.75,efficientnet_b0,123,0.07555671831463047,0.002113964685801828,0.08588626570771829,0.08512193148920726,0.026877133138020304,0.06599150514005371,0.001019419834771329
resize,1,none,scale,0.75,efficientnet_b0,2024,0.07279584626335754,0.01567651238596425,0.07527809484078794,0.1031189548931744,0.04867550263145211,0.042472737633540675,0.0032150482514644585
resize,1,none,scale,0.75,resnet50,42,0.10982996584691891,0.03279726682949663,0.11225180418882176,0.1638850300004804,0.04827689963344567,0.055774901693357436,0.026245890998843113
resize,1,none,scale,0.75,resnet50,123,0.10778819974002628,0.024911213179875435,0.10848771608348713,0.1667787504700543,0.060357895243602494,0.04879764900999826,0.015172320202731682
resize,1,none,scale,0.75,resnet50,2024,0.10483649107321312,0.015884082229827394,0.1115314054380857,0.12155533336035673,0.02876650147758119,0.08811764878606952,0.005518707544908186
resize,1,none,scale,0.75,xception,42,0.11237508305088852,0.007573298196486295,0.11237508305088852,0.14761383259049224,0.013916498657061755,0.0771363335112848,0.00565825888732574
resize,1,none,scale,0.75,xception,123,0.05489663280797031,0.005666812002184517,0.0558946685333109,0.08669886350989175,0.013663672713012004,0.02309440210604886,0.0010483339572617822
resize,1,none,scale,0.75,xception,2024,0.07301558725712397,0.0032678727480604935,0.07573222981527908,0.10692278804215831,0.016363241974256246,0.03910838647208961,0.0004644058490541614
resize,2,none,scale,0.5,efficientnet_b0,42,0.07947787512461761,0.012975084139594549,0.08727098343206315,0.11177541161808029,0.01908575427894766,0.04718033863115495,0.0020475142672168323
resize,2,none,scale,0.5,efficientnet_b0,123,0.0801044961401398,0.0047094993368897616,0.10120298386367414,0.11820841049533709,0.0578476838340696,0.04200058178494248,0.0034820490280353944
resize,2,none,scale,0.5,efficientnet_b0,2024,0.09072700171821829,0.025752764636954827,0.09555302082052664,0.16262815541916012,0.09648141311684061,0.018825848017276464,0.0
resize,2,none,scale,0.5,resnet50,42,0.14158848917654812,0.04672090575193442,0.1460027698466928,0.21769700104651005,0.10123624468583117,0.06547997730658618,0.02537879215926503
resize,2,none,scale,0.5,resnet50,123,0.141590860956836,0.05360384481094793,0.14254810988683692,0.23079744922854215,0.1193499321707246,0.05238427268512988,0.015442374821572014
resize,2,none,scale,0.5,resnet50,2024,0.14873624132412944,0.040213517254611114,0.1519693399403166,0.18128182785582228,0.10317795325560661,0.11619065479243658,0.01656067393911609
